0–80 or 0.060–80 UNF CLASS 2,0–80,0.060–80,UNF,2A,0.0005,0.0595,0.0563,0,0.0514,0.0496,0.001762,0.0446,2B,0.0465,0.0514,0.0519,0.0542,0.0023,0.06
0–80 or 0.060–80 UNF CLASS 3,0–80,0.060–80,UNF,3A,0,0.06,0.0568,0,0.0519,0.0506,0.0013,0.0451,3B,0.0465,0.0514,0.0519,0.0536,0.0017,0.06
1–64 or 0.073–64 UNC CLASS 2,1–64,0.073–64,UNC,2A,0.0006,0.0724,0.0686,0,0.0623,0.0603,0.00197,0.0538,2B,0.0561,0.0622,0.0629,0.0655,0.0026,0.073
1–64 or 0.073–64 UNC CLASS 3,1–64,0.073–64,UNC,3A,0,0.073,0.0692,0,0.0629,0.0614,0.0015,0.0544,3B,0.0561,0.0622,0.0629,0.0648,0.0019,0.073
1–72 or 0.073–72 UNF CLASS 2,1–72,0.073–72,UNF,2A,0.0006,0.0724,0.0689,0,0.0634,0.0615,0.001899,0.0559,2B,0.058,0.0634,0.064,0.0665,0.0025,0.073
1–72 or 0.073–72 UNF CLASS 3,1–72,0.073–72,UNF,3A,0,0.073,0.0695,0,0.064,0.0626,0.0014,0.0565,3B,0.058,0.0634,0.064,0.0659,0.0019,0.073
2–56 or 0.086–56 UNC CLASS 2,2–56,0.086–56,UNC,2A,0.0006,0.0854,0.0813,0,0.0738,0.0717,0.002127,0.0641,2B,0.0667,0.0737,0.0744,0.0772,0.0028,0.086
2–56 or 0.086–56 UNC CLASS 3,2–56,0.086–56,UNC,3A,0,0.086,0.0819,0,0.0744,0.0728,0.0016,0.0647,3B,0.0667,0.0737,0.0744,0.0765,0.0021,0.086
2–64 or 0.086–64 UNF CLASS 2,2–64,0.086–64,UNF,2A,0.0006,0.0854,0.0816,0,0.0753,0.0733,0.00204,0.0668,2B,0.0691,0.0752,0.0759,0.0786,0.0027,0.086
2–64 or 0.086–64 UNF CLASS 3,2–64,0.086–64,UNF,3A,0,0.086,0.0822,0,0.0759,0.0744,0.0015,0.0674,3B,0.0691,0.0752,0.0759,0.0779,0.002,0.086
3–48 or 0.099–48 UNC CLASS 2,3–48,0.099–48,UNC,2A,0.0007,0.0983,0.0938,0,0.0848,0.0825,0.002302,0.0735,2B,0.0764,0.0845,0.0855,0.0885,0.003,0.099
3–48 or 0.099–48 UNC CLASS 3,3–48,0.099–48,UNC,3A,0,0.099,0.0945,0,0.0855,0.0838,0.0017,0.0742,3B,0.0764,0.0845,0.0855,0.0877,0.0022,0.099
3–56 or 0.099–56 UNF CLASS 2,3–56,0.099–56,UNF,2A,0.0007,0.0983,0.0942,0,0.0867,0.0845,0.002191,0.077,2B,0.0797,0.0865,0.0874,0.0902,0.0028,0.099
3–56 or 0.099–56 UNF CLASS 3,3–56,0.099–56,UNF,3A,0,0.099,0.0949,0,0.0874,0.0858,0.0016,0.0777,3B,0.0797,0.0865,0.0874,0.0895,0.0021,0.099
